Exporters;Exported value in 2004;Exported value in 2005;Exported value in 2006;Exported value in 2007;Exported value in 2008;Exported value in 2009;Exported value in 2010;Exported value in 2011;Exported value in 2012;Exported value in 2013;Exported value in 2014;Exported value in 2015;Exported value in 2016;Exported value in 2017;Exported value in 2018;Exported value in 2019;Exported value in 2020;Exported value in 2021;Exported value in 2022;Exported value in 2023
World;296037120;340871168;386837905;446592996;473194534;391835111;483231285;564635050;562830071;591539646;613659091;549438740;543697932;596592895;655703258;625617103;610734892;807672506;823335732;729272039
China;13105642;17782741;22224404;26585024;29808557;25274692;34696577;45420906;55194044;61753142;66789420;65835653;64035659;70645690;80135877;84157225;96378231;131074406;143529368;132467055
United States;33834387;38254439;42712143;47858263;51220849;42795066;53625263;58743605;59006434;60980811;63037374;60347504;58628345;61907709;66561665;65004106;60205864;74313449;83283461;77796411
Germany;39530991;44670212;50476790;58157913;56033340;48159173;53506444;61505198;57420579;60550317;62934869;56058285;57400821;63173991;67669156;62929691;60108805;76237791;76014553;69309903
South Korea;11899682;14262514;15391310;17730925;20215530;18355887;23953247;27719360;28381150;31179306;31835781;28220063;27651647;31485679;34917595;32594762;31561719;43195814;41158081;35040437
Belgium;20826949;23665008;26933792;31617641;32562668;24934742;29806870;33819417;31432425;32397537;32072234;27278525;27021434;29626285;32645117;29488734;27480142;38971903;39318089;32689369
Netherlands;15207339;16396619;18145545;21273478;22217551;17310141;20200788;25641390;24231585;25636626;26218580;22255401;21640966;23948249;26141049;24035591;23699039;32363148;32600478;27056533
Italy;14215236;15291880;17571205;20632780;21393360;16439413;18384948;21172834;19981527;20930188;21593631;18694055;18961064;20984828;22742134;21508889;20529668;26509457;27025761;24672550
Japan;15387230;17442243;19637301;22047871;23851994;21716206;29268430;30381895;28521794;25703699;25267573;22499546;23431011;25138705;26132999;25218431;25555906;30364676;27076156;23707973
France;15517731;17379266;19207210;22348004;23295391;17465152;19608175;22512858;21003866;22191511;23113674;19553528;19524218;21511060;22578513;20902707;19299339;25645789;25213555;23204854
Taipei, Chinese;11002258;12747569;13910457;16642556;17070590;14584218;19643138;21884491;21056218;21897100;21351685;18491837;17569945;20288942;22439760;19867496;18573924;26457908;22910597;17633485
Saudi Arabia;3297887;4731128;5198957;6108716;7122920;6326255;11302592;14470503;15499442;17028040;18906546;15335996;14430900;16991534;20933538;19040659;16318244;23750907;23147131;17455331
Poland;2308288;3078798;4420662;5717306;6954263;5389158;6455861;8111535;7840621;9266799;9590798;8884863;9155882;10270858;13043686;11721711;11900109;15821931;18221247;17400583
Canada;10116357;11758297;12753871;12563764;12613444;9087571;10770794;12268473;12071409;12568345;13173242;12496078;12125288;12579559;13582292;12679832;12420863;16880640;17256664;15521011
Spain;6316624;7132962;8025283;9760935;10182496;7903995;9844122;11370394;10734614;11515734;12485680;10873995;10829480;12169611;13228713;12215178;11529846;15848213;16309799;14032856
Thailand;4537045;5991314;6490350;7549075;8244052;6813723;9266880;12136373;11935266;12562216;13504184;11736485;11391344;12705869;14531375;13355023;11863592;15526462;15088788;13006816
Singapore;5675524;6677303;7579862;8399074;9024832;7314885;11403554;13724017;14224599;14637946;16383260;13444900;13095523;14580059;15956324;14605484;12911292;15913254;15612295;12617483
Mexico;3974077;4580244;4985710;5304213;5369514;4623957;5697119;6616923;7521035;8077010;8628295;8321261;8369391;8977302;9544293;9422277;9128902;11420944;13145881;11737277
United Kingdom;9931159;10880606;11418412;12305590;12580629;9661771;11096547;12810866;11802259;12088983;12816238;11821145;10947608;11892715;12385306;11876204;10588134;12712233;13006806;11572482
Türkiye;1323732;1722148;2214266;2822051;3563148;3093759;3716596;4580258;5012899;5769370;6277203;5358692;5027828;5474292;6042982;6805351;6971354;10016195;11570171;10571002
Malaysia;3240203;3829573;4474987;5173869;5732090;4703608;6181847;7007515;6884512;6826634;7555003;7114920;6887658;7483262;9403859;9594622;8181528;10284721;10266811;9043062
Austria;4166609;4473355;5392876;6908145;7489604;5824089;6753305;7776246;7273945;7775439;7926729;6840989;6820294;7314314;8194936;7516991;7189785;9470655;9495698;8820839
Czech Republic;2313231;2859730;3268740;4058753;4968145;3848167;4576714;5382936;5250612;5755918;6392985;5589964;5484062;6430630;7099240;6650858;6467959;8492495;8545549;8112195
United Arab Emirates;;973399;;1385762;1978859;;;;4859097;3320098;3625074;3466748;5420408;5099958;5489962;6018219;6965824;9267300;9729983;7581826
Viet Nam;267734;441517;625872;900710;1159568;1043328;1371288;1749499;2186376;2456765;2722425;2634782;2786216;3315735;4186122;4842101;5161178;7297439;7943015;7429231
India;1900849;2222790;2661760;2689966;2816753;2331508;3630341;5465281;4936166;6222703;5398297;5004809;5212533;5923073;7881740;7351307;6598432;8555158;8235825;7117179
