Importers;Imported value in 2004;Imported value in 2005;Imported value in 2006;Imported value in 2007;Imported value in 2008;Imported value in 2009;Imported value in 2010;Imported value in 2011;Imported value in 2012;Imported value in 2013;Imported value in 2014;Imported value in 2015;Imported value in 2016;Imported value in 2017;Imported value in 2018;Imported value in 2019;Imported value in 2020;Imported value in 2021;Imported value in 2022;Imported value in 2023
World;298935100;343502914;391603929;449059919;493568520;400122932;499639265;578001354;570856457;598561804;621964015;560465258;553405307;610764845;671171786;640754558;612762616;802578551;832693974;722327281
United States ;28252482;33660468;36421957;36459734;37712492;29906968;36909554;41407087;44249296;46376567;50128863;50373200;50376130;54713764;61719974;60355031;62342457;82383519;89879630;72346644
China;28055531;33308205;37832892;45333716;48862558;48513919;63704657;70198652;69424491;72390786;75190305;65609923;61006719;68949683;74867230;71593756;71084529;82825936;75188948;61976018
Germany;20664522;24445125;28714837;32426481;39603224;29729862;36314491;43095517;40306562;42601675;44633003;39148473;39900156;44363841;48641085;44588746;41723743;55147724;57034339;49983203
Mexico;12586841;14349167;15942901;16206241;16162952;12698018;17404501;18486474;19835821;20809738;22317115;22306435;22144290;23163624;25295291;24585093;21865474;29738792;32721371;30714898
France;16568317;18385564;20429461;24207379;25723519;20361027;23405025;26243096;24270312;25103756;25379755;21892856;22030145;24221197;26099658;24178581;22141772;29241693;30307151;27085313
Italy;13830626;15239900;17764456;20534220;20715614;15220752;18967472;22095074;19216940;20231290;20850391;18342494;18456573;20515317;22159154;20527303;18856764;27435468;30257507;25835343
India;1498888;2427797;2814552;3730382;4468324;5134342;7327235;7999615;9281085;9984763;11801179;11346650;11390534;13002678;15237235;14623223;11974524;19257673;22716066;22583816
Belgium;11944668;13058620;14827242;17294082;18196348;14220603;16613507;19015955;18032639;18966747;19489768;16248163;17162619;18823873;20066888;18613589;17057631;23925211;24854974;21005995
United Kingdom;13829305;14695847;18294517;17951151;18032048;14348785;16779447;19211281;17393343;18852526;20129584;17905439;17122099;18440248;19451946;18845147;18130257;21288886;22647790;19662740
