Date;Hour;Open;High;Low;Close;Volume
2023.10.19;21:00;33617;33652.2;33586;33600;5009
2023.10.19;21:15;33599.5;33626.8;33558;33576.1;5393
2023.10.19;21:30;33575.1;33575.1;33434.8;33436.8;5234
2023.10.19;21:45;33436;33486.7;33420.5;33444.9;4876
2023.10.19;22:00;33445.8;33471.3;33406.5;33408;5206
2023.10.19;22:15;33408.3;33415.1;33372.8;33407.2;5010
2023.10.19;22:30;33407.8;33441.6;33345;33352.5;5234
2023.10.19;22:45;33352.7;33452.7;33338;33374.8;5664
2023.10.19;23:00;33375.6;33382.9;33331.8;33354;2973
2023.10.19;23:15;33354.1;33376;33351.4;33368.2;1157
2023.10.19;23:30;33369.8;33371;33357.5;33359.8;847
2023.10.19;23:45;33360.4;33368.9;33360;33365.9;672
2023.10.20;01:00;33377.2;33378.7;33345.2;33368;740
2023.10.20;01:15;33369;33373.5;33358.5;33360.3;519
2023.10.20;01:30;33360.5;33369.4;33354.9;33355.5;468
2023.10.20;01:45;33355.7;33358.8;33350.3;33353.2;515
2023.10.20;02:00;33352.4;33352.4;33334.2;33343.1;712
2023.10.20;02:15;33343;33350.8;33332.4;33350.8;480
2023.10.20;02:30;33350.7;33353.7;33342.3;33345.3;613
2023.10.20;02:45;33345.4;33360.1;33339.7;33358.4;694
2023.10.20;03:00;33357.8;33358.5;33333.2;33337.5;1345
2023.10.20;03:15;33336.8;33345.1;33327.1;33338;1291
2023.10.20;03:30;33336.3;33360.4;33327.5;33358.4;1189
2023.10.20;03:45;33358.6;33358.6;33328.7;33349.7;1188
2023.10.20;04:00;33349.5;33355.3;33312.9;33315.2;1205
2023.10.20;04:15;33314.9;33324.7;33305.2;33320.7;1417
2023.10.20;04:30;33320.8;33341.1;33311.7;33334.6;1591
2023.10.20;04:45;33334.3;33355.4;33328.8;33344.1;1469
2023.10.20;05:00;33343.8;33360.2;33338.8;33350.5;1130
2023.10.20;05:15;33349.7;33362.4;33346.9;33350.2;1003
2023.10.20;05:30;33350.4;33380.3;33348.5;33374.3;1033
2023.10.20;05:45;33374.1;33381.4;33368.6;33381.1;886
2023.10.20;06:00;33380.9;33381.2;33371.5;33376.5;764
2023.10.20;06:15;33376.1;33376.4;33360.8;33367;729
2023.10.20;06:30;33366.8;33378.8;33360.3;33364.5;824
2023.10.20;06:45;33364.8;33373.9;33362.7;33368.3;611
2023.10.20;07:00;33368.7;33372.7;33363;33365.3;632
